Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,De'Aaron Fox,26,40,40,35.6,9.6,20.6,.467,3.0,7.9,.380,6.6,12.7,.521,.539,4.9,6.8,.724,0.9,3.2,4.1,5.5,1.6,0.4,2.5,2.5,27.2
2,Domantas Sabonis,27,46,46,35.4,8.0,13.0,.616,0.5,1.1,.451,7.5,11.9,.632,.636,3.4,5.0,.680,3.3,9.8,13.0,8.0,0.8,0.5,3.3,3.2,19.9
3,Keegan Murray,23,42,42,33.0,6.1,13.0,.469,2.5,6.6,.372,3.7,6.5,.568,.563,1.5,1.8,.792,1.4,4.1,5.5,1.6,1.2,0.6,0.9,2.6,16.1
4,Harrison Barnes,31,46,46,29.8,4.0,8.5,.473,1.9,4.7,.394,2.2,3.8,.571,.583,1.9,2.3,.821,0.9,2.1,3.0,1.3,0.7,0.2,0.7,1.2,11.8
5,Malik Monk,25,45,0,25.3,4.8,11.2,.431,2.3,6.1,.377,2.5,5.1,.496,.534,2.3,2.8,.816,0.4,2.2,2.6,5.3,0.6,0.6,2.2,1.9,14.2
6,Kevin Huerter,25,44,39,24.9,4.1,9.1,.448,2.0,5.6,.364,2.0,3.5,.581,.560,0.6,0.8,.778,0.5,3.3,3.8,2.7,0.7,0.4,0.6,2.3,10.9
7,Trey Lyles,28,32,0,20.1,2.4,5.4,.442,1.5,3.9,.384,0.9,1.5,.596,.581,0.7,1.1,.618,0.9,3.6,4.6,1.3,0.2,0.3,0.6,1.6,6.9
8,Chris Duarte,26,35,11,13.2,1.3,3.6,.360,0.6,1.9,.313,0.7,1.7,.414,.444,0.5,0.7,.750,0.4,1.5,1.8,0.9,0.5,0.1,0.6,1.7,3.7
9,Sasha Vezenkov,28,33,0,12.7,2.2,4.8,.456,1.1,2.9,.375,1.1,1.9,.581,.570,0.2,0.3,.700,0.9,1.7,2.6,0.4,0.5,0.2,0.3,0.9,5.7
10,Davion Mitchell,25,36,3,12.5,1.4,3.6,.377,0.5,1.9,.269,0.9,1.8,.492,.446,0.4,0.5,.737,0.2,0.8,1.0,1.7,0.2,0.1,0.6,1.2,3.6
11,Keon Ellis,24,28,3,12.2,1.3,3.0,.434,0.9,2.4,.382,0.4,0.5,.667,.590,0.4,0.6,.647,0.3,1.0,1.3,1.3,0.5,0.4,0.5,1.4,3.9
12,Alex Len,30,17,0,8.8,1.1,1.7,.621,0.0,0.1,.000,1.1,1.6,.667,.621,0.2,0.6,.400,1.4,1.9,3.3,1.1,0.2,0.5,0.6,1.1,2.4
13,JaVale McGee,36,36,0,8.2,2.0,3.1,.649,0.0,0.1,.000,2.0,3.0,.667,.649,0.7,1.1,.610,1.0,2.0,3.0,0.4,0.3,0.5,0.9,1.1,4.7
14,Colby Jones,21,15,0,7.3,1.1,2.8,.381,0.1,0.9,.077,1.0,1.9,.517,.393,0.1,0.2,.667,0.6,0.8,1.4,0.6,0.3,0.1,0.3,1.0,2.3
15,Juan Toscano-Anderson,30,11,0,4.8,0.3,1.1,.250,0.1,0.4,.250,0.2,0.7,.250,.292,0.0,0.0,,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1.0,0.6
16,Kessler Edwards,23,31,0,4.7,0.5,1.4,.395,0.3,0.8,.346,0.3,0.5,.471,.500,0.1,0.1,.750,0.2,0.5,0.7,0.3,0.1,0.1,0.0,0.4,1.5
17,Jalen Slawson,24,5,0,3.8,0.4,0.6,.667,0.0,0.2,.000,0.4,0.4,1.000,.667,0.0,0.0,,0.0,0.8,0.8,0.4,0.0,0.2,0.4,0.6,0.8
18,Jordan Ford,25,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0
19,Filip Petrušev,23,2,0,3.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5
