Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephen Curry,35,$51915615,$55761216,$59606817,,,,$167283648,1,35,43,43,33.7,9.1,19.8,0.459,4.9,11.8,0.411,4.2,7.9,0.531,0.582,5.1,5.5,0.932,0.5,3.9,4.4,5.0,0.8,0.4,3.0,1.8,28.1
Klay Thompson,33,$43219440,,,,,,$43219440,2,33,44,44,30.9,6.1,14.6,0.415,3.3,8.9,0.374,2.7,5.7,0.478,0.529,1.8,2.0,0.91,0.5,2.9,3.4,2.3,0.6,0.5,1.6,1.9,17.3
Chris Paul,38,$30800000,$30000000,,,,,$15800000,3,38,32,11,27.6,3.3,7.7,0.424,1.3,3.7,0.361,1.9,3.9,0.484,0.512,1.1,1.3,0.833,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9
Andrew Wiggins,28,$24330357,$26276786,$28223215,$30169644,,,$78830358,4,28,42,31,27.1,4.6,10.6,0.437,1.0,3.1,0.311,3.7,7.5,0.49,0.483,1.9,2.7,0.717,1.6,2.6,4.2,1.5,0.4,0.5,1.3,2.3,12.2
Draymond Green,33,$22321429,$24107143,$25892857,$27678571,,,$100000000,5,33,22,19,26.9,3.3,6.8,0.48,1.1,2.7,0.417,2.1,4.1,0.522,0.563,1.5,1.9,0.805,1.2,5.0,6.2,6.2,0.7,0.9,2.5,3.1,9.2
Gary Payton II,31,$8715000,$9130000,,,,,$8715000,11,31,16,0,16.3,2.3,4.9,0.456,0.6,2.0,0.281,1.7,2.9,0.574,0.513,0.4,0.6,0.667,1.0,2.0,3.0,0.8,1.1,0.3,0.6,1.8,5.4
Kevon Looney,27,$7500000,$8000000,,,,,$15500000,9,27,46,36,19.2,2.2,3.5,0.62,0.0,0.0,0.0,2.2,3.5,0.623,0.62,0.8,1.2,0.684,2.4,4.3,6.7,2.2,0.5,0.3,0.8,2.3,5.2
Jonathan Kuminga,21,$6012840,$7636307,,,,,$13649147,7,21,45,19,24.8,5.7,10.6,0.538,0.8,2.6,0.33,4.9,8.1,0.603,0.577,2.8,4.0,0.719,1.2,3.3,4.6,1.7,0.7,0.4,1.6,2.3,15.1
Moses Moody,21,$3918480,$5803269,,,,,$9721749,10,21,34,4,18.0,3.1,6.5,0.482,1.1,3.1,0.358,2.0,3.4,0.595,0.568,1.3,1.7,0.789,1.1,2.0,3.1,0.8,0.7,0.3,0.7,1.4,8.7
Brandin Podziemski,20,$3352440,$3519960,$3687960,$5679459,,,$6872400,6,20,40,11,25.5,3.8,8.1,0.467,1.2,3.3,0.369,2.6,4.8,0.534,0.542,0.7,1.1,0.622,1.5,4.1,5.6,3.6,0.9,0.2,1.2,1.9,9.5
Cory Joseph,32,$2019706,,,,,,$2019706,13,32,25,0,11.6,0.8,2.4,0.333,0.4,1.6,0.282,0.4,0.8,0.429,0.425,0.2,0.3,0.571,0.2,0.9,1.2,1.6,0.2,0.1,0.5,1.0,2.2
Dario Šarić,29,$2019706,,,,,,$2019706,8,29,44,9,20.5,3.5,7.4,0.481,1.5,3.8,0.412,2.0,3.6,0.553,0.586,1.6,1.9,0.854,1.4,4.0,5.5,2.6,0.6,0.2,1.3,2.2,10.2
Trayce Jackson-Davis,23,$1119563,$1891857,$2221677,$2406205,,,$3011420,12,23,35,3,13.8,2.8,4.1,0.688,0.0,0.0,,2.8,4.1,0.688,0.688,1.0,1.8,0.571,1.6,2.6,4.2,0.9,0.3,0.8,0.7,1.6,6.7
Gui Santos,21,$1029483,$1891857,$2221677,,,,$75000,15,21,8,0,7.6,0.8,1.9,0.4,0.1,1.0,0.125,0.6,0.9,0.714,0.433,1.0,1.0,1.0,0.9,1.1,2.0,0.6,0.0,0.0,0.4,1.1,2.6
Lester Quinones,23,,,,,,,,14,23,12,0,9.2,1.6,3.5,0.452,1.0,2.3,0.444,0.6,1.3,0.467,0.595,0.3,0.5,0.667,0.8,1.2,1.9,0.5,0.1,0.1,0.7,1.1,4.5
Jerome Robinson,26,,,,,,,,16,26,8,0,3.5,0.0,1.1,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.5,0.8,0.667,0.1,0.3,0.4,0.3,0.0,0.1,0.0,0.1,0.5
Usman Garuba,21,,,,,,,,17,21,2,0,3.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0
