Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Trae Young,25,50,50,36.5,8.3,19.4,.427,3.3,9.0,.371,4.9,10.4,.476,.513,6.8,7.9,.858,0.4,2.3,2.7,10.9,1.4,0.2,4.3,2.1,26.7
2,Dejounte Murray,27,52,52,35.0,8.2,17.7,.463,2.3,6.3,.364,5.9,11.4,.518,.528,2.8,3.4,.825,0.7,4.4,5.1,5.3,1.3,0.3,2.3,1.8,21.4
3,Jalen Johnson,22,41,38,34.0,6.3,12.0,.524,1.2,3.4,.348,5.1,8.6,.594,.573,2.0,2.7,.743,1.3,7.3,8.6,3.3,1.2,0.9,1.8,2.7,15.7
4,Saddiq Bey,24,54,42,32.5,4.6,10.8,.422,1.8,5.6,.316,2.8,5.2,.537,.504,2.6,3.1,.829,2.6,3.9,6.6,1.5,0.9,0.1,0.8,1.5,13.5
5,Bogdan Bogdanović,31,53,8,28.9,6.0,14.0,.432,3.1,8.4,.372,2.9,5.6,.520,.543,1.7,1.9,.910,0.6,2.7,3.3,2.8,1.2,0.3,1.2,2.4,16.9
6,De'Andre Hunter,26,31,24,28.4,5.0,10.6,.470,2.0,4.7,.421,3.0,5.9,.508,.563,3.0,3.4,.894,0.6,3.2,3.8,1.3,0.8,0.4,1.5,2.8,14.9
7,Onyeka Okongwu,23,53,8,25.8,4.0,6.6,.610,0.4,1.2,.338,3.6,5.4,.671,.641,1.7,2.2,.800,2.7,4.3,7.0,1.3,0.4,1.1,0.8,3.0,10.2
8,Clint Capela,29,47,47,25.7,4.8,8.4,.575,0.0,0.0,,4.8,8.4,.575,.575,1.8,2.8,.649,4.8,5.8,10.6,1.0,0.6,1.5,0.9,2.4,11.5
9,Garrison Mathews,27,39,4,12.6,1.2,2.5,.455,1.0,2.3,.440,0.1,0.2,.625,.657,0.3,0.4,.667,0.2,1.0,1.2,0.5,0.3,0.1,0.4,1.6,3.6
10,Wesley Matthews,37,21,1,11.0,0.6,2.2,.283,0.4,1.7,.250,0.2,0.5,.400,.380,0.7,0.9,.737,0.2,1.1,1.3,0.6,0.5,0.2,0.3,1.3,2.3
11,Patty Mills,35,19,0,10.6,1.0,2.7,.373,0.7,1.8,.382,0.3,0.9,.353,.500,0.0,0.0,,0.3,0.8,1.1,0.7,0.5,0.1,0.4,0.9,2.7
12,Trent Forrest,25,20,0,10.5,0.8,2.4,.319,0.1,0.4,.286,0.7,2.0,.325,.340,0.4,0.5,.800,0.3,1.1,1.3,2.1,0.4,0.1,0.6,0.9,2.0
13,Bruno Fernando,25,18,1,8.9,1.5,2.8,.529,0.0,0.2,.000,1.5,2.7,.563,.529,1.0,1.7,.600,0.9,2.2,3.1,0.4,0.2,0.6,0.4,1.4,4.0
14,AJ Griffin,20,18,0,7.3,0.7,2.5,.289,0.5,1.8,.273,0.2,0.7,.333,.389,0.1,0.1,1.000,0.1,0.7,0.8,0.2,0.1,0.1,0.3,0.3,2.1
15,Seth Lundy,23,9,0,5.8,0.4,1.9,.235,0.3,1.4,.231,0.1,0.4,.250,.324,0.3,0.4,.750,0.1,0.7,0.8,0.0,0.0,0.0,0.1,0.7,1.6
16,Kobe Bufkin,20,5,0,5.0,0.6,2.0,.300,0.4,1.4,.286,0.2,0.6,.333,.400,0.2,0.4,.500,0.4,0.8,1.2,0.2,0.0,0.0,0.2,0.2,1.8
17,Mouhamed Gueye,21,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
18,Vit Krejci,23,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
