Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Domantas Sabonis,27,54,54,35.7,8.1,13.1,.622,0.5,1.1,.426,7.6,11.9,.640,.640,3.4,4.9,.697,3.2,10.0,13.2,8.3,0.9,0.5,3.3,3.1,20.1
2,De'Aaron Fox,26,48,48,35.6,9.6,20.7,.464,2.9,7.8,.376,6.7,12.9,.518,.535,4.6,6.5,.706,0.9,3.2,4.1,5.5,1.9,0.4,2.6,2.6,26.8
3,Keegan Murray,23,50,50,32.5,5.6,12.3,.459,2.2,6.2,.350,3.5,6.1,.571,.548,1.3,1.7,.807,1.2,4.1,5.3,1.7,1.1,0.6,0.9,2.7,14.8
4,Harrison Barnes,31,54,54,29.9,4.2,8.7,.483,1.9,4.9,.397,2.3,3.9,.590,.593,1.9,2.3,.820,0.8,2.1,2.9,1.2,0.7,0.2,0.7,1.3,12.2
5,Malik Monk,25,53,0,25.8,5.3,11.8,.449,2.2,6.0,.375,3.0,5.8,.524,.544,2.3,2.8,.815,0.4,2.4,2.8,5.3,0.6,0.6,2.2,2.1,15.1
6,Kevin Huerter,25,52,47,25.0,4.1,9.0,.452,2.0,5.5,.368,2.0,3.4,.587,.565,0.7,0.8,.791,0.6,3.0,3.6,2.6,0.7,0.4,0.8,2.1,10.8
7,Trey Lyles,28,39,0,20.1,2.6,5.5,.463,1.6,4.1,.405,0.9,1.5,.621,.611,0.8,1.2,.681,0.9,3.6,4.5,1.2,0.3,0.3,0.6,1.5,7.6
8,Davion Mitchell,25,44,3,13.2,1.5,3.6,.403,0.6,1.8,.309,0.9,1.8,.500,.481,0.4,0.6,.720,0.2,0.9,1.0,1.7,0.2,0.0,0.6,1.2,3.9
9,Chris Duarte,26,37,11,12.8,1.3,3.5,.364,0.6,1.9,.324,0.6,1.6,.414,.453,0.5,0.7,.769,0.4,1.4,1.8,0.9,0.5,0.1,0.5,1.6,3.7
10,Sasha Vezenkov,28,35,0,12.6,2.1,4.7,.448,1.1,2.9,.380,1.0,1.9,.554,.564,0.3,0.4,.769,0.9,1.6,2.5,0.4,0.5,0.2,0.3,1.0,5.6
11,Keon Ellis,24,33,3,11.5,1.2,2.7,.422,0.8,2.2,.370,0.3,0.5,.647,.572,0.3,0.5,.647,0.3,1.0,1.2,1.2,0.4,0.4,0.5,1.4,3.5
12,Alex Len,30,22,0,8.3,1.0,1.6,.639,0.0,0.1,.000,1.0,1.5,.697,.639,0.3,0.7,.467,1.2,1.7,3.0,1.0,0.3,0.4,0.6,1.2,2.4
13,JaVale McGee,36,39,0,7.9,1.9,3.0,.629,0.0,0.1,.000,1.9,2.9,.652,.629,0.6,1.1,.581,0.9,1.9,2.9,0.4,0.2,0.5,0.8,1.1,4.4
14,Colby Jones,21,17,0,7.1,1.0,2.7,.370,0.1,0.8,.077,0.9,1.9,.485,.380,0.1,0.3,.400,0.6,0.9,1.5,0.6,0.2,0.1,0.3,0.9,2.2
15,Kessler Edwards,23,36,0,4.9,0.6,1.4,.412,0.3,0.9,.364,0.3,0.5,.500,.529,0.1,0.1,.750,0.1,0.6,0.8,0.3,0.1,0.1,0.0,0.5,1.6
16,Juan Toscano-Anderson,30,11,0,4.8,0.3,1.1,.250,0.1,0.4,.250,0.2,0.7,.250,.292,0.0,0.0,,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1.0,0.6
17,Jalen Slawson,24,5,0,3.8,0.4,0.6,.667,0.0,0.2,.000,0.4,0.4,1.000,.667,0.0,0.0,,0.0,0.8,0.8,0.4,0.0,0.2,0.4,0.6,0.8
18,Jordan Ford,25,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0
19,Filip Petrušev,23,2,0,3.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5
