Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Miles Bridges,25,43,41,37.0,8.2,17.7,.464,2.4,6.6,.371,5.7,11.1,.519,.533,2.7,3.2,.860,0.9,6.3,7.1,3.4,1.1,0.6,2.0,1.9,21.5
2,Terry Rozier,29,30,30,35.5,8.4,18.3,.459,2.8,7.7,.358,5.6,10.6,.533,.535,3.6,4.3,.845,0.6,3.3,3.9,6.6,1.1,0.4,2.2,1.7,23.2
3,LaMelo Ball,22,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9
4,Gordon Hayward,33,25,25,31.9,5.6,11.9,.468,0.9,2.4,.361,4.7,9.4,.496,.505,2.5,3.2,.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5
5,Brandon Miller,21,48,42,31.4,6.2,13.9,.444,2.3,6.0,.386,3.9,7.9,.488,.528,1.9,2.3,.836,0.9,3.2,4.1,2.3,0.8,0.6,1.7,2.6,16.6
6,Grant Williams,25,3,0,30.3,6.0,11.7,.514,2.0,5.7,.353,4.0,6.0,.667,.600,3.0,3.3,.900,1.3,6.0,7.3,2.0,0.7,0.3,1.7,1.7,17.0
7,Tre Mann,22,3,3,30.3,5.3,11.7,.457,2.0,4.3,.462,3.3,7.3,.455,.543,1.0,1.0,1.000,1.0,6.0,7.0,7.3,1.3,0.0,2.3,1.0,13.7
8,P.J. Washington,25,44,17,29.2,5.2,11.6,.446,1.8,5.5,.324,3.4,6.0,.558,.524,1.5,2.1,.713,1.2,4.1,5.3,2.2,0.9,0.7,1.5,2.5,13.6
9,Mark Williams,22,19,19,26.7,5.2,7.9,.649,0.0,0.0,,5.2,7.9,.649,.649,2.4,3.4,.719,4.0,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7
10,Cody Martin,28,22,16,26.3,3.0,7.7,.391,1.0,3.0,.338,2.0,4.7,.423,.456,0.7,1.3,.536,0.7,3.0,3.8,3.4,1.0,0.5,1.6,1.7,7.7
11,Nick Richards,26,45,32,25.9,3.8,5.5,.692,0.0,0.0,,3.8,5.5,.692,.692,2.1,2.9,.731,2.6,5.4,7.9,0.8,0.3,1.3,1.1,2.7,9.7
12,Vasilije Micić,30,3,0,22.3,4.3,8.3,.520,1.0,2.3,.429,3.3,6.0,.556,.580,1.3,1.3,1.000,0.3,1.7,2.0,6.0,0.0,0.0,2.0,2.3,11.0
13,Seth Curry,33,3,0,18.7,4.0,7.3,.545,1.3,4.0,.333,2.7,3.3,.800,.636,0.7,0.7,1.000,0.3,1.0,1.3,1.3,1.0,0.3,0.3,0.0,10.0
14,Ish Smith,35,43,5,17.2,1.5,3.7,.418,0.1,0.2,.500,1.4,3.5,.413,.430,0.1,0.1,.750,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2
15,Bryce McGowens,21,43,13,16.4,1.9,4.2,.459,0.7,2.0,.357,1.2,2.3,.546,.541,1.0,1.3,.754,0.3,1.5,1.9,0.9,0.4,0.1,0.6,1.5,5.6
16,Nick Smith Jr.,19,37,0,15.5,2.4,5.9,.406,1.4,3.1,.451,1.0,2.8,.356,.523,0.3,0.4,.846,0.4,1.0,1.5,1.2,0.2,0.2,0.9,1.2,6.4
17,Théo Maledon,22,13,1,15.4,1.5,5.1,.288,0.4,2.3,.167,1.1,2.8,.389,.326,0.8,0.9,.917,0.3,1.5,1.8,2.2,0.5,0.0,1.2,1.4,4.2
18,JT Thor,21,43,1,13.4,1.2,3.2,.367,0.4,1.4,.317,0.7,1.8,.405,.435,0.2,0.3,.538,0.9,1.6,2.5,0.4,0.2,0.4,0.3,1.0,3.0
19,Nathan Mensah,25,25,0,12.3,0.5,1.1,.429,0.0,0.0,,0.5,1.1,.429,.429,0.4,0.5,.750,1.2,1.4,2.6,0.4,0.2,0.6,0.6,2.6,1.3
20,Dāvis Bertāns,31,3,0,12.0,1.7,5.0,.333,1.7,5.0,.333,0.0,0.0,,.500,0.0,0.0,,0.0,1.0,1.0,0.7,0.7,0.0,0.0,1.0,5.0
21,Leaky Black,24,22,3,9.9,0.8,1.8,.436,0.3,0.7,.467,0.5,1.1,.417,.526,0.4,0.6,.643,0.4,1.4,1.7,0.8,0.2,0.3,0.2,0.7,2.3
22,Frank Ntilikina,25,5,0,8.6,0.2,1.8,.111,0.2,1.6,.125,0.0,0.2,.000,.167,0.4,0.4,1.000,0.2,1.0,1.2,0.8,0.0,0.0,0.2,0.8,1.0
23,James Bouknight,23,14,0,5.8,1.3,2.9,.439,0.9,2.1,.433,0.4,0.8,.455,.598,0.1,0.1,.500,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6
24,Amari Bailey,19,3,0,5.0,0.7,2.3,.286,0.0,1.0,.000,0.7,1.3,.500,.286,0.3,0.7,.500,0.7,0.0,0.7,0.3,0.0,0.0,0.3,0.0,1.7
