Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Fred VanVleet,29,47,47,36.7,5.5,13.5,.409,2.9,7.7,.374,2.6,5.8,.456,.516,2.6,3.0,.859,0.4,3.4,3.7,8.2,1.1,1.0,1.6,2.2,16.5
2,Alperen Şengün,21,53,53,32.5,8.4,15.6,.541,0.5,1.9,.293,7.9,13.7,.574,.558,3.8,5.4,.708,2.7,6.4,9.1,5.0,1.1,0.7,2.6,3.3,21.2
3,Jabari Smith Jr.,20,49,49,31.6,4.9,10.7,.459,1.6,4.6,.359,3.3,6.1,.533,.535,1.7,2.1,.810,2.0,6.4,8.4,1.4,0.7,0.7,1.3,2.7,13.2
4,Dillon Brooks,28,45,45,31.4,5.1,11.3,.448,2.0,5.1,.399,3.0,6.2,.488,.537,2.1,2.4,.853,0.8,2.7,3.5,1.6,0.9,0.1,1.4,3.6,14.2
5,Jalen Green,21,54,54,30.6,6.2,15.1,.411,2.0,6.5,.307,4.2,8.6,.490,.477,3.6,4.5,.802,0.4,4.4,4.8,3.4,0.7,0.3,2.2,1.3,18.0
6,Tari Eason,22,22,0,21.8,4.0,8.6,.466,0.8,2.3,.360,3.2,6.3,.504,.513,1.0,1.5,.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8
7,Amen Thompson,21,35,6,19.2,3.1,6.0,.512,0.2,1.1,.158,2.9,4.9,.591,.526,1.3,2.0,.634,1.7,3.8,5.5,2.5,1.2,0.4,1.5,2.3,7.6
8,Aaron Holiday,27,51,1,17.9,2.6,5.7,.462,1.3,3.1,.409,1.4,2.6,.527,.574,0.7,0.8,.881,0.3,1.6,1.9,1.9,0.5,0.1,0.8,1.6,7.3
9,Jae'Sean Tate,28,51,9,17.5,1.8,3.8,.467,0.4,1.3,.309,1.4,2.5,.551,.521,0.4,0.6,.688,1.0,2.3,3.3,1.1,0.7,0.2,0.4,2.4,4.4
10,Cam Whitmore,19,28,1,17.0,4.4,9.1,.478,1.7,4.3,.403,2.6,4.9,.544,.573,1.5,2.2,.677,0.7,3.0,3.6,0.5,0.6,0.2,0.8,1.4,11.9
11,Jeff Green,37,52,5,16.9,2.0,4.2,.482,0.4,1.5,.289,1.6,2.8,.583,.532,1.8,2.2,.826,0.6,1.6,2.2,0.8,0.2,0.4,0.7,1.5,6.3
12,Reggie Bullock,32,22,0,9.4,0.9,2.1,.426,0.7,1.6,.417,0.2,0.5,.455,.585,0.0,0.0,1.000,0.1,1.4,1.5,0.5,0.2,0.1,0.2,0.5,2.5
13,Jock Landale,28,29,0,9.3,0.9,2.4,.377,0.1,0.6,.111,0.8,1.8,.471,.391,0.4,0.6,.765,1.3,1.0,2.2,0.6,0.2,0.4,0.4,0.9,2.3
14,Jeenathan Williams,24,10,0,7.4,1.4,3.0,.467,0.1,0.3,.333,1.3,2.7,.481,.483,0.4,0.7,.571,0.7,0.2,0.9,0.5,0.2,0.0,0.1,0.9,3.3
15,Boban Marjanović,35,9,0,5.3,1.1,2.3,.476,0.0,0.2,.000,1.1,2.1,.526,.476,0.3,0.7,.500,0.7,1.8,2.4,0.4,0.0,0.1,0.2,0.4,2.6
16,Nate Hinton,24,11,0,5.3,0.9,1.8,.500,0.6,1.0,.636,0.3,0.8,.333,.675,0.4,0.5,.800,0.3,0.8,1.1,0.5,0.2,0.2,0.2,0.9,2.8
17,Jermaine Samuels,25,11,0,4.8,0.7,1.0,.727,0.0,0.2,.000,0.7,0.8,.889,.727,0.2,0.2,1.000,0.2,0.8,1.0,0.2,0.1,0.1,0.0,0.4,1.6
