Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Nikola Jokić,28,53,53,33.8,10.2,17.7,.577,1.1,3.0,.352,9.2,14.7,.623,.607,4.6,5.7,.813,3.0,9.1,12.0,8.9,1.2,0.9,2.9,2.5,26.1
2,Kentavious Caldwell-Pope,30,50,50,31.9,3.5,7.9,.443,1.4,3.8,.379,2.0,4.1,.502,.534,1.6,1.8,.921,0.4,1.9,2.3,2.3,1.3,0.5,1.0,1.9,10.0
3,Aaron Gordon,28,49,49,31.7,5.4,10.0,.545,0.6,1.9,.315,4.8,8.1,.598,.575,2.4,3.7,.641,2.5,4.2,6.7,3.1,0.8,0.7,1.4,1.8,13.8
4,Michael Porter Jr.,25,54,54,31.6,6.1,13.0,.470,2.7,6.9,.394,3.4,6.2,.556,.574,1.0,1.2,.791,1.3,5.6,6.9,1.4,0.4,0.7,1.1,1.9,15.9
5,Jamal Murray,26,40,40,31.5,7.7,16.5,.468,2.4,5.9,.411,5.3,10.6,.500,.542,2.7,3.2,.849,0.7,3.3,3.9,6.5,0.8,0.7,2.0,1.9,20.5
6,Reggie Jackson,33,55,15,23.1,4.3,9.5,.457,1.3,3.4,.372,3.1,6.1,.505,.524,0.9,1.2,.776,0.4,1.7,2.1,4.0,0.6,0.2,1.3,1.8,10.9
7,Christian Braun,22,55,0,19.0,2.5,5.7,.438,0.7,1.8,.360,1.9,3.9,.474,.495,1.3,1.8,.732,0.8,2.7,3.5,1.4,0.4,0.4,0.7,1.5,7.0
8,Peyton Watson,21,53,4,18.3,2.6,5.5,.473,0.7,2.1,.336,1.9,3.5,.554,.536,0.9,1.3,.700,0.6,2.3,2.9,1.0,0.6,0.9,0.7,1.8,6.9
9,Justin Holiday,34,32,9,14.8,1.4,3.2,.446,0.9,2.2,.394,0.5,0.9,.567,.584,0.1,0.1,.750,0.2,1.1,1.3,1.0,0.6,0.1,0.3,1.4,3.8
10,Julian Strawther,21,35,0,13.9,2.1,5.6,.378,1.1,3.5,.309,1.0,2.1,.493,.474,0.5,0.7,.720,0.1,1.4,1.5,1.1,0.5,0.2,0.5,1.4,5.8
11,DeAndre Jordan,35,29,1,11.3,1.7,2.6,.632,0.0,0.0,,1.7,2.6,.632,.632,0.8,1.7,.449,1.7,2.9,4.6,0.7,0.2,0.4,0.7,1.7,4.1
12,Zeke Nnaji,23,40,0,9.6,1.2,2.7,.439,0.1,0.5,.278,1.1,2.2,.472,.463,0.8,1.2,.681,1.2,1.0,2.2,0.6,0.3,0.6,0.6,1.5,3.3
13,Collin Gillespie,24,18,0,7.6,0.9,2.0,.444,0.4,1.1,.350,0.5,0.9,.563,.542,0.3,0.4,.714,0.1,0.5,0.6,0.7,0.5,0.0,0.6,0.9,2.4
14,Jalen Pickett,24,16,0,6.1,0.8,1.8,.429,0.4,1.3,.350,0.3,0.5,.625,.554,0.1,0.1,1.000,0.1,0.6,0.7,0.8,0.2,0.0,0.4,0.5,2.1
15,Braxton Key,26,15,0,3.4,0.4,1.0,.400,0.1,0.3,.250,0.3,0.7,.455,.433,0.3,0.4,.667,0.2,0.6,0.8,0.5,0.1,0.0,0.1,0.3,1.1
16,Hunter Tyson,23,9,0,3.0,0.1,0.8,.143,0.0,0.7,.000,0.1,0.1,1.000,.143,0.0,0.0,,0.0,0.7,0.7,0.1,0.0,0.0,0.2,0.7,0.2
17,Jay Huff,25,8,0,2.8,0.5,0.9,.571,0.3,0.6,.400,0.3,0.3,1.000,.714,0.0,0.0,,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.6,1.3
